algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Selecao,20000,1,3,199990000,30000,0.051420
Insercao,20000,1,3,199990000,200029998,0.038048
Countingsort,20000,1,3,0,40000,0.151791
Bucketsort,20000,1,3,20000,80000,0.000348
RadixsortC,20000,1,3,0,360000,0.000471
RadixsortB,20000,1,3,0,900000,0.001070
Bolha,20000,2,1,199977910,300233403,0.570442
Coquetel,20000,2,1,149814847,300233403,0.488256
Selecao,20000,2,1,199990000,59961,0.053551
Insercao,20000,2,1,100097790,100117799,0.019152
Countingsort,20000,2,1,0,40000,0.151086
Bucketsort,20000,2,1,20956,80956,0.000662
RadixsortC,20000,2,1,0,360000,0.000464
RadixsortB,20000,2,1,0,900000,0.001037
Bolha,20000,2,2,199939597,300356790,0.570593
Coquetel,20000,2,2,150304504,300356790,0.490854
Selecao,20000,2,2,199990000,59967,0.052949
Insercao,20000,2,2,100138918,100158928,0.019130
Countingsort,20000,2,2,0,40000,0.150882
Bucketsort,20000,2,2,20897,80897,0.000659
RadixsortC,20000,2,2,0,360000,0.000459
RadixsortB,20000,2,2,0,900000,0.001009
Bolha,20000,2,3,199969699,300246963,0.576584
Coquetel,20000,2,3,149964997,300246963,0.479124
Selecao,20000,2,3,199990000,59979,0.054371
Insercao,20000,2,3,100102310,100122319,0.019120
Countingsort,20000,2,3,0,40000,0.150395
Bucketsort,20000,2,3,20914,80914,0.000659
RadixsortC,20000,2,3,0,360000,0.000461
RadixsortB,20000,2,3,0,900000,0.001009
Bolha,30000,0,1,29999,0,0.000012
Coquetel,30000,0,1,29999,0,0.000012
Selecao,30000,0,1,449985000,0,0.115641
Insercao,30000,0,1,29999,59998,0.000012
Countingsort,30000,0,1,0,60000,0.148502
Bucketsort,30000,0,1,30000,120000,0.000570
RadixsortC,30000,0,1,0,540000,0.000695
RadixsortB,30000,0,1,0,1350000,0.001533
Bolha,30000,0,2,29999,0,0.000018
Coquetel,30000,0,2,29999,0,0.000018
Selecao,30000,0,2,449985000,0,0.118155
Insercao,30000,0,2,29999,59998,0.000013
Countingsort,30000,0,2,0,60000,0.148867
Bucketsort,30000,0,2,30000,120000,0.000687
RadixsortC,30000,0,2,0,540000,0.000827
RadixsortB,30000,0,2,0,1350000,0.001688
Bolha,30000,0,3,29999,0,0.000015
Coquetel,30000,0,3,29999,0,0.000014
Selecao,30000,0,3,449985000,0,0.116646
Insercao,30000,0,3,29999,59998,0.000012
Countingsort,30000,0,3,0,60000,0.147518
Bucketsort,30000,0,3,30000,120000,0.000581
RadixsortC,30000,0,3,0,540000,0.000690
RadixsortB,30000,0,3,0,1350000,0.001830
Bolha,30000,1,1,449985000,1349955000,1.773720
Coquetel,30000,1,1,449985000,1349955000,1.748445
Selecao,30000,1,1,449985000,45000,0.116178
Insercao,30000,1,1,449985000,450044998,0.085505
Countingsort,30000,1,1,0,60000,0.149646
Bucketsort,30000,1,1,30000,120000,0.000657
RadixsortC,30000,1,1,0,540000,0.000694
RadixsortB,30000,1,1,0,1350000,0.001632
Bolha,30000,1,2,449985000,1349955000,1.748627
Coquetel,30000,1,2,449985000,1349955000,1.747627
Selecao,30000,1,2,449985000,45000,0.116026
Insercao,30000,1,2,449985000,450044998,0.085486
Countingsort,30000,1,2,0,60000,0.150074
Bucketsort,30000,1,2,30000,120000,0.000665
RadixsortC,30000,1,2,0,540000,0.000687
RadixsortB,30000,1,2,0,1350000,0.001632
Bolha,30000,1,3,449985000,1349955000,1.748664
Coquetel,30000,1,3,449985000,1349955000,1.748538
Selecao,30000,1,3,449985000,45000,0.115650
Insercao,30000,1,3,449985000,450044998,0.085505
Countingsort,30000,1,3,0,60000,0.149644
Bucketsort,30000,1,3,30000,120000,0.000656
RadixsortC,30000,1,3,0,540000,0.000694
RadixsortB,30000,1,3,0,1350000,0.001654
Bolha,30000,2,1,449939549,673315245,1.353156
Coquetel,30000,2,1,336891720,673315245,1.185513
Selecao,30000,2,1,449985000,89949,0.118913
Insercao,30000,2,1,224468403,224498413,0.042812
Countingsort,30000,2,1,0,60000,0.148726
Bucketsort,30000,2,1,31474,121474,0.001017
RadixsortC,30000,2,1,0,540000,0.000688
RadixsortB,30000,2,1,0,1350000,0.001514
Bolha,30000,2,2,449979329,675825999,1.645401
Coquetel,30000,2,2,337822247,675825999,1.428183
Selecao,30000,2,2,449985000,89967,0.123386
Insercao,30000,2,2,225305322,225335331,0.043113
Countingsort,30000,2,2,0,60000,0.148546
Bucketsort,30000,2,2,31374,121374,0.001215
RadixsortC,30000,2,2,0,540000,0.000825
RadixsortB,30000,2,2,0,1350000,0.001728
Bolha,30000,2,3,449936172,674532816,1.651578
Coquetel,30000,2,3,337417490,674532816,1.425713
Selecao,30000,2,3,449985000,89988,0.123168
Insercao,30000,2,3,224874262,224904270,0.042985
Countingsort,30000,2,3,0,60000,0.149893
Bucketsort,30000,2,3,31440,121440,0.001223
RadixsortC,30000,2,3,0,540000,0.000830
RadixsortB,30000,2,3,0,1350000,0.001750
Bolha,40000,0,1,39999,0,0.000019
Coquetel,40000,0,1,39999,0,0.000020
Selecao,40000,0,1,799980000,0,0.210782
Insercao,40000,0,1,39999,79998,0.000017
Countingsort,40000,0,1,0,80000,0.145046
Bucketsort,40000,0,1,40000,160000,0.000716
RadixsortC,40000,0,1,0,720000,0.001106
RadixsortB,40000,0,1,0,1800000,0.002258
Bolha,40000,0,2,39999,0,0.000018
Coquetel,40000,0,2,39999,0,0.000016
Selecao,40000,0,2,799980000,0,0.204702
Insercao,40000,0,2,39999,79998,0.000016
Countingsort,40000,0,2,0,80000,0.145505
Bucketsort,40000,0,2,40000,160000,0.000617
RadixsortC,40000,0,2,0,720000,0.000920
RadixsortB,40000,0,2,0,1800000,0.002068
Bolha,40000,0,3,39999,0,0.000024
Coquetel,40000,0,3,39999,0,0.000024
Selecao,40000,0,3,799980000,0,0.210633
Insercao,40000,0,3,39999,79998,0.000016
Countingsort,40000,0,3,0,80000,0.145163
Bucketsort,40000,0,3,40000,160000,0.000714
RadixsortC,40000,0,3,0,720000,0.001100
RadixsortB,40000,0,3,0,1800000,0.002266
Bolha,40000,1,1,799980000,2399940000,3.737574
Coquetel,40000,1,1,799980000,2399940000,3.733169
Selecao,40000,1,1,799980000,60000,0.205593
Insercao,40000,1,1,799980000,800059998,0.152255
Countingsort,40000,1,1,0,80000,0.146847
Bucketsort,40000,1,1,40000,160000,0.000721
RadixsortC,40000,1,1,0,720000,0.000928
RadixsortB,40000,1,1,0,1800000,0.002233
Bolha,40000,1,2,799980000,2399940000,3.115865
Coquetel,40000,1,2,799980000,2399940000,3.108695
Selecao,40000,1,2,799980000,60000,0.206143
Insercao,40000,1,2,799980000,800059998,0.152289
Countingsort,40000,1,2,0,80000,0.146867
Bucketsort,40000,1,2,40000,160000,0.000735
RadixsortC,40000,1,2,0,720000,0.000930
RadixsortB,40000,1,2,0,1800000,0.002252
Bolha,40000,1,3,799980000,2399940000,3.736583
Coquetel,40000,1,3,799980000,2399940000,3.732425
Selecao,40000,1,3,799980000,60000,0.209574
Insercao,40000,1,3,799980000,800059998,0.152225
Countingsort,40000,1,3,0,80000,0.146872
Bucketsort,40000,1,3,40000,160000,0.000876
RadixsortC,40000,1,3,0,720000,0.001114
RadixsortB,40000,1,3,0,1800000,0.002415
Bolha,40000,2,1,799958679,1194934107,2.989158
Coquetel,40000,2,1,598667855,1194934107,2.595848
Selecao,40000,2,1,799980000,119973,0.217123
Insercao,40000,2,1,398351356,398391367,0.075989
Countingsort,40000,2,1,0,80000,0.146414
Bucketsort,40000,2,1,41931,161931,0.001649
RadixsortC,40000,2,1,0,720000,0.001127
RadixsortB,40000,2,1,0,1800000,0.002266
Bolha,40000,2,2,799977920,1195203954,2.481789
Coquetel,40000,2,2,598948674,1195203954,2.150274
Selecao,40000,2,2,799980000,119973,0.212340
Insercao,40000,2,2,398441305,398481316,0.075928
Countingsort,40000,2,2,0,80000,0.145918
Bucketsort,40000,2,2,41936,161936,0.001356
RadixsortC,40000,2,2,0,720000,0.000915
RadixsortB,40000,2,2,0,1800000,0.002112
Bolha,40000,2,3,799967439,1196435784,3.008700
Coquetel,40000,2,3,599489700,1196435784,2.161773
Selecao,40000,2,3,799980000,119958,0.211522
Insercao,40000,2,3,398851921,398891926,0.076007
Countingsort,40000,2,3,0,80000,0.146477
Bucketsort,40000,2,3,41852,161852,0.001362
RadixsortC,40000,2,3,0,720000,0.000912
RadixsortB,40000,2,3,0,1800000,0.002078
Bolha,50000,0,1,49999,0,0.000020
Coquetel,50000,0,1,49999,0,0.000020
Selecao,50000,0,1,1249975000,0,0.318930
Insercao,50000,0,1,49999,99998,0.000020
Countingsort,50000,0,1,0,100000,0.143024
Bucketsort,50000,0,1,50000,200000,0.000741
RadixsortC,50000,0,1,0,900000,0.001157
RadixsortB,50000,0,1,0,2250000,0.003420
Bolha,50000,0,2,49999,0,0.000021
Coquetel,50000,0,2,49999,0,0.000020
Selecao,50000,0,2,1249975000,0,0.319008
Insercao,50000,0,2,49999,99998,0.000020
Countingsort,50000,0,2,0,100000,0.143748
Bucketsort,50000,0,2,50000,200000,0.000743
RadixsortC,50000,0,2,0,900000,0.001146
RadixsortB,50000,0,2,0,2250000,0.003395
Bolha,50000,0,3,49999,0,0.000022
Coquetel,50000,0,3,49999,0,0.000030
Selecao,50000,0,3,1249975000,0,0.323786
Insercao,50000,0,3,49999,99998,0.000021
Countingsort,50000,0,3,0,100000,0.143301
Bucketsort,50000,0,3,50000,200000,0.000920
RadixsortC,50000,0,3,0,900000,0.001378
RadixsortB,50000,0,3,0,2250000,0.003031
Bolha,50000,1,1,1249975000,3749925000,5.214854
Coquetel,50000,1,1,1249975000,3749925000,5.832739
Selecao,50000,1,1,1249975000,75000,0.325467
Insercao,50000,1,1,1249975000,1250074998,0.237784
Countingsort,50000,1,1,0,100000,0.144561
Bucketsort,50000,1,1,50000,200000,0.001115
RadixsortC,50000,1,1,0,900000,0.001368
RadixsortB,50000,1,1,0,2250000,0.003407
Bolha,50000,1,2,1249975000,3749925000,5.829859
Coquetel,50000,1,2,1249975000,3749925000,5.830088
Selecao,50000,1,2,1249975000,75000,0.325775
Insercao,50000,1,2,1249975000,1250074998,0.237515
Countingsort,50000,1,2,0,100000,0.143894
Bucketsort,50000,1,2,50000,200000,0.001103
RadixsortC,50000,1,2,0,900000,0.001373
RadixsortB,50000,1,2,0,2250000,0.003240
Bolha,50000,1,3,1249975000,3749925000,5.831447
Coquetel,50000,1,3,1249975000,3749925000,5.832370
Selecao,50000,1,3,1249975000,75000,0.327091
Insercao,50000,1,3,1249975000,1250074998,0.237806
Countingsort,50000,1,3,0,100000,0.144398
Bucketsort,50000,1,3,50000,200000,0.001111
RadixsortC,50000,1,3,0,900000,0.001387
RadixsortB,50000,1,3,0,2250000,0.003369
Bolha,50000,2,1,1249952634,1878976527,3.959395
Coquetel,50000,2,1,940554874,1878976527,3.434266
Selecao,50000,2,1,1249975000,149964,0.329150
Insercao,50000,2,1,626375494,626425507,0.119250
Countingsort,50000,2,1,0,100000,0.144689
Bucketsort,50000,2,1,52389,202389,0.001768
RadixsortC,50000,2,1,0,900000,0.001155
RadixsortB,50000,2,1,0,2250000,0.002726
Bolha,50000,2,2,1249972372,1879505352,3.965831
Coquetel,50000,2,2,940480240,1879505352,3.435818
Selecao,50000,2,2,1249975000,149979,0.330121
Insercao,50000,2,2,626551775,626601782,0.119191
Countingsort,50000,2,2,0,100000,0.144240
Bucketsort,50000,2,2,52393,202393,0.001753
RadixsortC,50000,2,2,0,900000,0.001149
RadixsortB,50000,2,2,0,2250000,0.002831
Bolha,50000,2,3,1249907104,1879242255,4.772525
Coquetel,50000,2,3,939857940,1879242255,4.119667
Selecao,50000,2,3,1249975000,149973,0.334573
Insercao,50000,2,3,626464076,626514083,0.119606
Countingsort,50000,2,3,0,100000,0.145061
Bucketsort,50000,2,3,52264,202264,0.002093
RadixsortC,50000,2,3,0,900000,0.001387
RadixsortB,50000,2,3,0,2250000,0.003047
Bolha,60000,0,1,59999,0,0.000027
Coquetel,60000,0,1,59999,0,0.000029
Selecao,60000,0,1,1799970000,0,0.466636
Insercao,60000,0,1,59999,119998,0.000025
Countingsort,60000,0,1,0,120000,0.140030
Bucketsort,60000,0,1,60000,240000,0.001378
RadixsortC,60000,0,1,0,1080000,0.001663
RadixsortB,60000,0,1,0,2700000,0.004020
Bolha,60000,0,2,59999,0,0.000029
Coquetel,60000,0,2,59999,0,0.000029
Selecao,60000,0,2,1799970000,0,0.467367
Insercao,60000,0,2,59999,119998,0.000025
Countingsort,60000,0,2,0,120000,0.140020
Bucketsort,60000,0,2,60000,240000,0.001376
RadixsortC,60000,0,2,0,1080000,0.001649
RadixsortB,60000,0,2,0,2700000,0.003927
Bolha,60000,0,3,59999,0,0.000029
Coquetel,60000,0,3,59999,0,0.000027
