algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Insercao,7,2,8,11,17,0.000000
Quicksort,7,2,8,13,42,0.000000
Insercao,7,2,9,11,17,0.000000
Quicksort,7,2,9,13,42,0.000000
Insercao,7,2,10,11,17,0.000000
Quicksort,7,2,10,13,42,0.000000
Insercao,8,2,1,13,20,0.000000
Quicksort,8,2,1,17,51,0.000000
Insercao,8,2,2,13,20,0.000000
Quicksort,8,2,2,17,51,0.000000
Insercao,8,2,3,13,20,0.000000
Quicksort,8,2,3,17,51,0.000000
Insercao,8,2,4,13,20,0.000000
Quicksort,8,2,4,17,51,0.000000
Insercao,8,2,5,13,20,0.000000
Quicksort,8,2,5,17,51,0.000000
Insercao,8,2,6,13,20,0.000000
Quicksort,8,2,6,17,51,0.000000
Insercao,8,2,7,13,20,0.000000
Quicksort,8,2,7,17,51,0.000000
Insercao,8,2,8,13,20,0.000000
Quicksort,8,2,8,17,51,0.000000
Insercao,8,2,9,13,20,0.000000
Quicksort,8,2,9,17,51,0.000000
Insercao,8,2,10,13,20,0.000000
Quicksort,8,2,10,17,51,0.000000
Insercao,9,2,1,18,26,0.000000
Quicksort,9,2,1,19,66,0.000000
Insercao,9,2,2,18,26,0.000000
Quicksort,9,2,2,19,66,0.000000
Insercao,9,2,3,18,26,0.000000
Quicksort,9,2,3,19,66,0.000000
Insercao,9,2,4,18,26,0.000000
Quicksort,9,2,4,19,66,0.000000
Insercao,9,2,5,18,26,0.000000
Quicksort,9,2,5,19,66,0.000000
Insercao,9,2,6,18,26,0.000000
Quicksort,9,2,6,19,66,0.000000
Insercao,9,2,7,18,26,0.000000
Quicksort,9,2,7,19,66,0.000000
Insercao,9,2,8,18,26,0.000000
Quicksort,9,2,8,19,66,0.000000
Insercao,9,2,9,18,26,0.000000
Quicksort,9,2,9,19,66,0.000000
Insercao,9,2,10,18,26,0.000000
Quicksort,9,2,10,19,66,0.000000
Insercao,10,2,1,22,31,0.000000
Quicksort,10,2,1,29,57,0.000001
Insercao,10,2,2,22,31,0.000000
Quicksort,10,2,2,29,57,0.000000
Insercao,10,2,3,22,31,0.000000
Quicksort,10,2,3,29,57,0.000000
Insercao,10,2,4,22,31,0.000000
Quicksort,10,2,4,29,57,0.000000
Insercao,10,2,5,22,31,0.000000
Quicksort,10,2,5,29,57,0.000000
Insercao,10,2,6,22,31,0.000000
Quicksort,10,2,6,29,57,0.000000
Insercao,10,2,7,22,31,0.000000
Quicksort,10,2,7,29,57,0.000000
Insercao,10,2,8,22,31,0.000000
Quicksort,10,2,8,29,57,0.000000
Insercao,10,2,9,22,31,0.000000
Quicksort,10,2,9,29,57,0.000000
Insercao,10,2,10,22,31,0.000000
Quicksort,10,2,10,29,57,0.000000
Insercao,11,2,1,32,42,0.000000
Quicksort,11,2,1,26,72,0.000000
Insercao,11,2,2,32,42,0.000000
Quicksort,11,2,2,26,72,0.000001
Insercao,11,2,3,32,42,0.000000
Quicksort,11,2,3,26,72,0.000000
Insercao,11,2,4,32,42,0.000000
Quicksort,11,2,4,26,72,0.000000
Insercao,11,2,5,32,42,0.000000
Quicksort,11,2,5,26,72,0.000000
Insercao,11,2,6,32,42,0.000000
Quicksort,11,2,6,26,72,0.000000
Insercao,11,2,7,32,42,0.000000
Quicksort,11,2,7,26,72,0.000001
Insercao,11,2,8,32,42,0.000000
Quicksort,11,2,8,26,72,0.000000
Insercao,11,2,9,32,42,0.000000
Quicksort,11,2,9,26,72,0.000000
Insercao,11,2,10,32,42,0.000000
Quicksort,11,2,10,26,72,0.000001
Insercao,12,2,1,33,44,0.000000
Quicksort,12,2,1,29,75,0.000000
Insercao,12,2,2,33,44,0.000000
Quicksort,12,2,2,29,75,0.000001
Insercao,12,2,3,33,44,0.000000
Quicksort,12,2,3,29,75,0.000001
Insercao,12,2,4,33,44,0.000000
