algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Selecao,10000,2,3,49995000,29979,0.013977
Insercao,10000,2,3,24981334,24991341,0.004805
Shellsort,10000,2,3,193644,292637,0.000639
Mergesort,10000,2,3,120456,259572,0.000515
Heapsort,10000,2,3,121157,174111,0.000476
Quicksort,10000,2,3,149558,272868,0.000432
QuicksortI,10000,2,3,162221,211946,0.000378
Introsort,10000,2,3,180907,118771,0.000366
Countingsort,10000,2,3,0,20000,0.153551
Bucketsort,10000,2,3,10447,40447,0.000376
RadixsortC,10000,2,3,0,180000,0.000272
RadixsortB,10000,2,3,0,450000,0.000724
Bolha,15000,0,1,14999,0,0.000006
Coquetel,15000,0,1,14999,0,0.000006
Selecao,15000,0,1,112492500,0,0.028840
Insercao,15000,0,1,14999,29998,0.000006
Shellsort,15000,0,1,149222,298444,0.000095
Mergesort,15000,0,1,102252,310868,0.000124
Heapsort,15000,0,1,192532,280640,0.000443
Quicksort,15000,0,1,256056,468342,0.000338
QuicksortI,15000,0,1,270811,448999,0.000151
Introsort,15000,0,1,183936,51496,0.000062
Countingsort,15000,0,1,0,30000,0.153517
Bucketsort,15000,0,1,15000,60000,0.000329
RadixsortC,15000,0,1,0,270000,0.000420
RadixsortB,15000,0,1,0,675000,0.000904
Bolha,15000,0,2,14999,0,0.000007
Coquetel,15000,0,2,14999,0,0.000007
Selecao,15000,0,2,112492500,0,0.029036
Insercao,15000,0,2,14999,29998,0.000006
Shellsort,15000,0,2,149222,298444,0.000090
Mergesort,15000,0,2,102252,310868,0.000121
Heapsort,15000,0,2,192532,280640,0.000518
Quicksort,15000,0,2,249881,466272,0.000350
QuicksortI,15000,0,2,228897,361369,0.000138
Introsort,15000,0,2,183936,51496,0.000062
Countingsort,15000,0,2,0,30000,0.152688
Bucketsort,15000,0,2,15000,60000,0.000330
RadixsortC,15000,0,2,0,270000,0.000412
RadixsortB,15000,0,2,0,675000,0.000901
Bolha,15000,0,3,14999,0,0.000006
Coquetel,15000,0,3,14999,0,0.000006
Selecao,15000,0,3,112492500,0,0.030171
Insercao,15000,0,3,14999,29998,0.000007
Shellsort,15000,0,3,149222,298444,0.000099
Mergesort,15000,0,3,102252,310868,0.000126
Heapsort,15000,0,3,192532,280640,0.000467
Quicksort,15000,0,3,249881,466272,0.000348
QuicksortI,15000,0,3,228897,361369,0.000145
Introsort,15000,0,3,183936,51496,0.000064
Countingsort,15000,0,3,0,30000,0.152773
Bucketsort,15000,0,3,15000,60000,0.000331
RadixsortC,15000,0,3,0,270000,0.000414
RadixsortB,15000,0,3,0,675000,0.000910
Bolha,15000,1,1,112492500,337477500,0.534395
Coquetel,15000,1,1,112492500,337477500,0.535946
Selecao,15000,1,1,112492500,22500,0.030663
Insercao,15000,1,1,112492500,112522498,0.021849
Shellsort,15000,1,1,205101,363596,0.000159
Mergesort,15000,1,1,106364,417232,0.000144
Heapsort,15000,1,1,188606,259178,0.000469
Quicksort,15000,1,1,236145,382890,0.000391
QuicksortI,15000,1,1,282374,424725,0.000229
Introsort,15000,1,1,191433,73990,0.000066
Countingsort,15000,1,1,0,30000,0.152612
Bucketsort,15000,1,1,15000,60000,0.000358
RadixsortC,15000,1,1,0,270000,0.000421
RadixsortB,15000,1,1,0,675000,0.000944
Bolha,15000,1,2,112492500,337477500,0.523860
Coquetel,15000,1,2,112492500,337477500,0.524315
Selecao,15000,1,2,112492500,22500,0.029153
Insercao,15000,1,2,112492500,112522498,0.021421
Shellsort,15000,1,2,205101,363596,0.000165
Mergesort,15000,1,2,106364,417232,0.000146
Heapsort,15000,1,2,188606,259178,0.000478
Quicksort,15000,1,2,252033,460566,0.000393
QuicksortI,15000,1,2,273996,417150,0.000212
Introsort,15000,1,2,191433,73990,0.000066
Countingsort,15000,1,2,0,30000,0.153355
Bucketsort,15000,1,2,15000,60000,0.000353
RadixsortC,15000,1,2,0,270000,0.000418
RadixsortB,15000,1,2,0,675000,0.000943
Bolha,15000,1,3,112492500,337477500,0.524547
Coquetel,15000,1,3,112492500,337477500,0.524420
Selecao,15000,1,3,112492500,22500,0.029345
Insercao,15000,1,3,112492500,112522498,0.021435
Shellsort,15000,1,3,205101,363596,0.000165
Mergesort,15000,1,3,106364,417232,0.000148
Heapsort,15000,1,3,188606,259178,0.000480
Quicksort,15000,1,3,238995,407184,0.000374
QuicksortI,15000,1,3,264999,396534,0.000211
Introsort,15000,1,3,191433,73990,0.000066
Countingsort,15000,1,3,0,30000,0.153934
Bucketsort,15000,1,3,15000,60000,0.000352
RadixsortC,15000,1,3,0,270000,0.000414
RadixsortB,15000,1,3,0,675000,0.000938
Bolha,15000,2,1,112471385,168958968,0.358976
Coquetel,15000,2,1,84752424,168958968,0.304904
Selecao,15000,2,1,112492500,44964,0.030720
Insercao,15000,2,1,56334647,56349654,0.010784
Shellsort,15000,2,1,305212,461898,0.000943
Mergesort,15000,2,1,189401,406828,0.000641
Heapsort,15000,2,1,190412,270009,0.000718
Quicksort,15000,2,1,260046,460200,0.000621
QuicksortI,15000,2,1,266503,365775,0.000509
Introsort,15000,2,1,265626,186241,0.000597
Countingsort,15000,2,1,0,30000,0.152306
Bucketsort,15000,2,1,15653,60653,0.000565
RadixsortC,15000,2,1,0,270000,0.000414
RadixsortB,15000,2,1,0,675000,0.000905
Bolha,15000,2,2,112479780,169539615,0.361818
Coquetel,15000,2,2,84633120,169539615,0.305739
Selecao,15000,2,2,112492500,44976,0.030212
Insercao,15000,2,2,56528196,56543203,0.010809
Shellsort,15000,2,2,302930,459639,0.000947
Mergesort,15000,2,2,189221,406587,0.000649
Heapsort,15000,2,2,190248,269916,0.000721
Quicksort,15000,2,2,238289,415794,0.000620
QuicksortI,15000,2,2,265829,427571,0.000605
Introsort,15000,2,2,259978,186508,0.000594
Countingsort,15000,2,2,0,30000,0.151878
Bucketsort,15000,2,2,15670,60670,0.000571
RadixsortC,15000,2,2,0,270000,0.000410
RadixsortB,15000,2,2,0,675000,0.000897
Bolha,15000,2,3,112468410,168940839,0.357991
Coquetel,15000,2,3,84923475,168940839,0.304894
Selecao,15000,2,3,112492500,44955,0.030978
Insercao,15000,2,3,56328605,56343611,0.010797
Shellsort,15000,2,3,305742,462306,0.000948
Mergesort,15000,2,3,189431,406777,0.000651
Heapsort,15000,2,3,190413,269873,0.000833
Quicksort,15000,2,3,243707,409311,0.000629
QuicksortI,15000,2,3,254579,370416,0.000517
Introsort,15000,2,3,269543,183608,0.000592
Countingsort,15000,2,3,0,30000,0.152129
Bucketsort,15000,2,3,15764,60764,0.000569
RadixsortC,15000,2,3,0,270000,0.000418
RadixsortB,15000,2,3,0,675000,0.000906
Bolha,20000,0,1,19999,0,0.000012
Coquetel,20000,0,1,19999,0,0.000012
Selecao,20000,0,1,199990000,0,0.053080
Insercao,20000,0,1,19999,39998,0.000008
Shellsort,20000,0,1,204285,408570,0.000126
Mergesort,20000,0,1,139216,426448,0.000169
Heapsort,20000,0,1,266195,382874,0.000604
Quicksort,20000,0,1,327543,574821,0.000424
QuicksortI,20000,0,1,351233,589166,0.000204
Introsort,20000,0,1,267640,72760,0.000087
Countingsort,20000,0,1,0,40000,0.150495
Bucketsort,20000,0,1,20000,80000,0.000468
RadixsortC,20000,0,1,0,360000,0.000556
RadixsortB,20000,0,1,0,900000,0.001165
Bolha,20000,0,2,19999,0,0.000010
Coquetel,20000,0,2,19999,0,0.000010
Selecao,20000,0,2,199990000,0,0.054488
Insercao,20000,0,2,19999,39998,0.000009
Shellsort,20000,0,2,204285,408570,0.000133
Mergesort,20000,0,2,139216,426448,0.000176
Heapsort,20000,0,2,266195,382874,0.000601
Quicksort,20000,0,2,354657,631134,0.000431
QuicksortI,20000,0,2,293809,453170,0.000196
Introsort,20000,0,2,267640,72760,0.000090
Countingsort,20000,0,2,0,40000,0.151192
Bucketsort,20000,0,2,20000,80000,0.000455
RadixsortC,20000,0,2,0,360000,0.000562
RadixsortB,20000,0,2,0,900000,0.001168
Bolha,20000,0,3,19999,0,0.000008
Coquetel,20000,0,3,19999,0,0.000008
Selecao,20000,0,3,199990000,0,0.051222
Insercao,20000,0,3,19999,39998,0.000008
Shellsort,20000,0,3,204285,408570,0.000128
Mergesort,20000,0,3,139216,426448,0.000161
Heapsort,20000,0,3,266195,382874,0.000570
Quicksort,20000,0,3,354657,631134,0.000416
QuicksortI,20000,0,3,293809,453170,0.000189
Introsort,20000,0,3,267640,72760,0.000086
Countingsort,20000,0,3,0,40000,0.150690
Bucketsort,20000,0,3,20000,80000,0.000462
RadixsortC,20000,0,3,0,360000,0.000558
RadixsortB,20000,0,3,0,900000,0.001381
Bolha,20000,1,1,199990000,599970000,0.950939
Coquetel,20000,1,1,199990000,599970000,0.951979
Selecao,20000,1,1,199990000,30000,0.051844
Insercao,20000,1,1,199990000,200029998,0.038172
Shellsort,20000,1,1,282063,499854,0.000212
Mergesort,20000,1,1,148016,574464,0.000197
Heapsort,20000,1,1,258972,354330,0.000614
Quicksort,20000,1,1,352191,619005,0.000450
QuicksortI,20000,1,1,370580,498114,0.000298
Introsort,20000,1,1,277636,102754,0.000091
Countingsort,20000,1,1,0,40000,0.152196
Bucketsort,20000,1,1,20000,80000,0.000538
RadixsortC,20000,1,1,0,360000,0.000556
