algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Shellsort,10000000,0,1,179523814,359047628,0.093736
Mergesort,10000000,0,1,114434624,347657408,0.104024
Heapsort,10000000,0,1,223280964,281881704,0.359783
Quicksort,10000000,0,1,301053653,500140686,0.218927
QuicksortI,10000000,0,1,283446788,458953602,0.110724
Introsort,10000000,0,1,224155768,36777208,0.058963
Shellsort,10000000,0,2,179523814,359047628,0.102910
Mergesort,10000000,0,2,114434624,347657408,0.103325
Heapsort,10000000,0,2,223280964,281881704,0.360484
Quicksort,10000000,0,2,294398844,492984933,0.221543
QuicksortI,10000000,0,2,277832801,459106479,0.114067
Introsort,10000000,0,2,224155768,36777208,0.059955
Shellsort,10000000,0,3,179523814,359047628,0.096580
Mergesort,10000000,0,3,114434624,347657408,0.100411
Heapsort,10000000,0,3,223280964,281881704,0.358277
Quicksort,10000000,0,3,286643031,475577421,0.220125
QuicksortI,10000000,0,3,282455443,440594154,0.115064
Introsort,10000000,0,3,224155768,36777208,0.059178
Shellsort,10000000,1,1,246859309,433044744,0.126003
Mergesort,10000000,1,1,118788160,466445568,0.129352
Heapsort,10000000,1,1,220007180,266912424,0.389242
Quicksort,10000000,1,1,288371567,468962178,0.248217
QuicksortI,10000000,1,1,324643167,454583650,0.152465
Introsort,10000000,1,1,229155755,51777202,0.060701
Shellsort,10000000,1,2,246859309,433044744,0.125927
Mergesort,10000000,1,2,118788160,466445568,0.129344
Heapsort,10000000,1,2,220007180,266912424,0.388997
Quicksort,10000000,1,2,287237987,477647091,0.249282
QuicksortI,10000000,1,2,318275140,492307232,0.150894
Introsort,10000000,1,2,229155755,51777202,0.060163
Shellsort,10000000,1,3,246859309,433044744,0.133265
Mergesort,10000000,1,3,118788160,466445568,0.131841
Heapsort,10000000,1,3,220007180,266912424,0.388463
Quicksort,10000000,1,3,294575203,482695671,0.247680
QuicksortI,10000000,1,3,306628226,461199767,0.156931
Introsort,10000000,1,3,229155755,51777202,0.060391
Shellsort,10000000,2,1,383477858,568004768,1.035643
Mergesort,10000000,2,1,220101981,458813982,0.721260
Heapsort,10000000,2,1,220806366,273834211,1.024738
Quicksort,10000000,2,1,295505936,482655171,0.620350
QuicksortI,10000000,2,1,308060751,449959143,0.548353
Introsort,10000000,2,1,311795972,188081202,0.513346
Shellsort,10000000,2,2,383402623,567928857,1.031670
Mergesort,10000000,2,2,220102730,458815670,0.721883
Heapsort,10000000,2,2,220806979,273831803,1.024597
Quicksort,10000000,2,2,301501851,480524073,0.622120
QuicksortI,10000000,2,2,299586943,438051311,0.542265
Introsort,10000000,2,2,308628288,188609636,0.516817
Shellsort,10000000,2,3,383223315,567750965,1.032541
Mergesort,10000000,2,3,220102566,458815528,0.723796
Heapsort,10000000,2,3,220806243,273834866,1.019356
Quicksort,10000000,2,3,292382919,455170584,0.618252
QuicksortI,10000000,2,3,300888872,471705894,0.541476
