algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Quicksort,20000,2,3,360890,597474,0.000980
QuicksortI,20000,2,3,353934,538966,0.000935
Introsort,20000,2,3,361407,253403,0.000658
Shellsort,30000,0,1,324285,648570,0.000334
Mergesort,30000,0,1,219504,666736,0.000588
Heapsort,30000,0,1,416246,590096,0.001455
Quicksort,30000,0,1,544981,874761,0.000756
QuicksortI,30000,0,1,513628,811195,0.000316
Introsort,30000,0,1,397880,103000,0.000177
Shellsort,30000,0,2,324285,648570,0.000416
Mergesort,30000,0,2,219504,666736,0.000447
Heapsort,30000,0,2,416246,590096,0.000869
Quicksort,30000,0,2,544981,874761,0.000642
QuicksortI,30000,0,2,513628,811195,0.000290
Introsort,30000,0,2,397880,103000,0.000159
Shellsort,30000,0,3,324285,648570,0.000418
Mergesort,30000,0,3,219504,666736,0.000456
Heapsort,30000,0,3,416246,590096,0.000851
Quicksort,30000,0,3,544981,874761,0.000665
QuicksortI,30000,0,3,513628,811195,0.000294
Introsort,30000,0,3,397880,103000,0.000157
Shellsort,30000,1,1,451690,791542,0.000542
Mergesort,30000,1,1,227728,894464,0.000518
Heapsort,30000,1,1,406474,549208,0.000938
Quicksort,30000,1,1,526029,955218,0.000665
QuicksortI,30000,1,1,579430,855211,0.000366
Introsort,30000,1,1,412876,147994,0.000149
Shellsort,30000,1,2,451690,791542,0.000452
Mergesort,30000,1,2,227728,894464,0.000600
Heapsort,30000,1,2,406474,549208,0.000935
Quicksort,30000,1,2,526029,955218,0.000832
QuicksortI,30000,1,2,579430,855211,0.000511
Introsort,30000,1,2,412876,147994,0.000190
Shellsort,30000,1,3,451690,791542,0.000503
Mergesort,30000,1,3,227728,894464,0.000528
Heapsort,30000,1,3,406474,549208,0.001063
Quicksort,30000,1,3,526029,955218,0.000775
QuicksortI,30000,1,3,579430,855211,0.000489
Introsort,30000,1,3,412876,147994,0.000175
Shellsort,30000,2,1,665633,1004114,0.002335
Mergesort,30000,2,1,408407,873442,0.001421
Heapsort,30000,2,1,410898,570001,0.001577
Quicksort,30000,2,1,531598,909750,0.001816
QuicksortI,30000,2,1,553016,881651,0.001411
Introsort,30000,2,1,582351,390595,0.001080
Shellsort,30000,2,2,665633,1004114,0.002683
Mergesort,30000,2,2,408407,873442,0.001574
Heapsort,30000,2,2,410898,570001,0.002492
Quicksort,30000,2,2,531598,909750,0.002448
QuicksortI,30000,2,2,553016,881651,0.001456
Introsort,30000,2,2,582351,390595,0.001030
Shellsort,30000,2,3,665633,1004114,0.002880
Mergesort,30000,2,3,408407,873442,0.002113
Heapsort,30000,2,3,410898,570001,0.001650
