algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Selecao,100000,2,3,4999950000,299973,1.319742
Insercao,100000,2,3,2505881263,2505981273,0.475817
Countingsort,100000,2,3,0,200000,0.136470
Bucketsort,100000,2,3,104579,404579,0.003964
RadixsortC,100000,2,3,0,1800000,0.002280
RadixsortB,100000,2,3,0,4500000,0.007561
Countingsort,200000,0,1,0,400000,0.130168
Bucketsort,200000,0,1,200000,800000,0.003897
RadixsortC,200000,0,1,0,3600000,0.004632
RadixsortB,200000,0,1,0,9000000,0.020929
Countingsort,200000,0,2,0,400000,0.130453
Bucketsort,200000,0,2,200000,800000,0.003841
RadixsortC,200000,0,2,0,3600000,0.004628
RadixsortB,200000,0,2,0,9000000,0.020836
Countingsort,200000,0,3,0,400000,0.130554
Bucketsort,200000,0,3,200000,800000,0.003880
RadixsortC,200000,0,3,0,3600000,0.004617
RadixsortB,200000,0,3,0,9000000,0.020805
Countingsort,200000,1,1,0,400000,0.134224
Bucketsort,200000,1,1,200000,800000,0.004813
RadixsortC,200000,1,1,0,3600000,0.004618
RadixsortB,200000,1,1,0,9000000,0.021784
Countingsort,200000,1,2,0,400000,0.129717
Bucketsort,200000,1,2,200000,800000,0.005438
RadixsortC,200000,1,2,0,3600000,0.005763
RadixsortB,200000,1,2,0,9000000,0.018086
Countingsort,200000,1,3,0,400000,0.134214
Bucketsort,200000,1,3,200000,800000,0.004840
RadixsortC,200000,1,3,0,3600000,0.004605
RadixsortB,200000,1,3,0,9000000,0.021960
Countingsort,200000,2,1,0,400000,0.134532
Bucketsort,200000,2,1,209437,809437,0.008948
RadixsortC,200000,2,1,0,3600000,0.004626
RadixsortB,200000,2,1,0,9000000,0.020631
Countingsort,200000,2,2,0,400000,0.129592
Bucketsort,200000,2,2,209437,809437,0.009932
RadixsortC,200000,2,2,0,3600000,0.005894
RadixsortB,200000,2,2,0,9000000,0.017114
Countingsort,200000,2,3,0,400000,0.129798
Bucketsort,200000,2,3,209437,809437,0.009986
RadixsortC,200000,2,3,0,3600000,0.005542
RadixsortB,200000,2,3,0,9000000,0.017276
Countingsort,300000,0,1,0,600000,0.130998
Bucketsort,300000,0,1,300000,1200000,0.005841
RadixsortC,300000,0,1,0,5400000,0.006943
RadixsortB,300000,0,1,0,13500000,0.031535
Countingsort,300000,0,2,0,600000,0.131151
Bucketsort,300000,0,2,300000,1200000,0.005835
RadixsortC,300000,0,2,0,5400000,0.006991
RadixsortB,300000,0,2,0,13500000,0.031639
Countingsort,300000,0,3,0,600000,0.131265
Bucketsort,300000,0,3,300000,1200000,0.005793
RadixsortC,300000,0,3,0,5400000,0.006971
RadixsortB,300000,0,3,0,13500000,0.031826
Countingsort,300000,1,1,0,600000,0.135977
Bucketsort,300000,1,1,300000,1200000,0.008628
RadixsortC,300000,1,1,0,5400000,0.008118
RadixsortB,300000,1,1,0,13500000,0.034021
Countingsort,300000,1,2,0,600000,0.135678
Bucketsort,300000,1,2,300000,1200000,0.007396
RadixsortC,300000,1,2,0,5400000,0.006950
RadixsortB,300000,1,2,0,13500000,0.033158
Countingsort,300000,1,3,0,600000,0.135491
Bucketsort,300000,1,3,300000,1200000,0.007212
RadixsortC,300000,1,3,0,5400000,0.006973
RadixsortB,300000,1,3,0,13500000,0.033492
Countingsort,300000,2,1,0,600000,0.134211
Bucketsort,300000,2,1,314215,1214215,0.016537
RadixsortC,300000,2,1,0,5400000,0.008063
RadixsortB,300000,2,1,0,13500000,0.031596
Countingsort,300000,2,2,0,600000,0.134272
Bucketsort,300000,2,2,314215,1214215,0.016159
RadixsortC,300000,2,2,0,5400000,0.008049
RadixsortB,300000,2,2,0,13500000,0.032295
Countingsort,300000,2,3,0,600000,0.128807
Bucketsort,300000,2,3,314202,1214202,0.016078
RadixsortC,300000,2,3,0,5400000,0.007999
RadixsortB,300000,2,3,0,13500000,0.026196
Countingsort,400000,0,1,0,800000,0.129142
Bucketsort,400000,0,1,400000,1600000,0.008873
RadixsortC,400000,0,1,0,7200000,0.010375
RadixsortB,400000,0,1,0,18000000,0.034792
Countingsort,400000,0,2,0,800000,0.128674
Bucketsort,400000,0,2,400000,1600000,0.008870
RadixsortC,400000,0,2,0,7200000,0.010373
RadixsortB,400000,0,2,0,18000000,0.034800
Countingsort,400000,0,3,0,800000,0.128911
Bucketsort,400000,0,3,400000,1600000,0.009011
RadixsortC,400000,0,3,0,7200000,0.010412
RadixsortB,400000,0,3,0,18000000,0.034978
Countingsort,400000,1,1,0,800000,0.129828
Bucketsort,400000,1,1,400000,1600000,0.009212
RadixsortC,400000,1,1,0,7200000,0.009292
RadixsortB,400000,1,1,0,18000000,0.035812
Countingsort,400000,1,2,0,800000,0.136106
Bucketsort,400000,1,2,400000,1600000,0.009693
RadixsortC,400000,1,2,0,7200000,0.009400
RadixsortB,400000,1,2,0,18000000,0.043747
Countingsort,400000,1,3,0,800000,0.136709
Bucketsort,400000,1,3,400000,1600000,0.009639
RadixsortC,400000,1,3,0,7200000,0.009356
RadixsortB,400000,1,3,0,18000000,0.044043
Countingsort,400000,2,1,0,800000,0.128697
Bucketsort,400000,2,1,418950,1618950,0.020350
RadixsortC,400000,2,1,0,7200000,0.009322
RadixsortB,400000,2,1,0,18000000,0.033772
Countingsort,400000,2,2,0,800000,0.128286
Bucketsort,400000,2,2,418633,1618633,0.020099
RadixsortC,400000,2,2,0,7200000,0.009324
RadixsortB,400000,2,2,0,18000000,0.034053
Countingsort,400000,2,3,0,800000,0.129645
Bucketsort,400000,2,3,418633,1618633,0.020161
RadixsortC,400000,2,3,0,7200000,0.009324
RadixsortB,400000,2,3,0,18000000,0.033855
Countingsort,500000,0,1,0,1000000,0.132807
Bucketsort,500000,0,1,500000,2000000,0.011291
RadixsortC,500000,0,1,0,9000000,0.012747
RadixsortB,500000,0,1,0,22500000,0.043753
Countingsort,500000,0,2,0,1000000,0.133092
Bucketsort,500000,0,2,500000,2000000,0.009882
RadixsortC,500000,0,2,0,9000000,0.011746
RadixsortB,500000,0,2,0,22500000,0.053566
Countingsort,500000,0,3,0,1000000,0.129244
Bucketsort,500000,0,3,500000,2000000,0.009613
RadixsortC,500000,0,3,0,9000000,0.011642
RadixsortB,500000,0,3,0,22500000,0.042455
Countingsort,500000,1,1,0,1000000,0.131911
Bucketsort,500000,1,1,500000,2000000,0.011571
RadixsortC,500000,1,1,0,9000000,0.011684
RadixsortB,500000,1,1,0,22500000,0.045480
Countingsort,500000,1,2,0,1000000,0.136618
Bucketsort,500000,1,2,500000,2000000,0.012249
RadixsortC,500000,1,2,0,9000000,0.011753
RadixsortB,500000,1,2,0,22500000,0.055967
Countingsort,500000,1,3,0,1000000,0.137389
Bucketsort,500000,1,3,500000,2000000,0.012209
RadixsortC,500000,1,3,0,9000000,0.011745
RadixsortB,500000,1,3,0,22500000,0.056108
Countingsort,500000,2,1,0,1000000,0.139305
Bucketsort,500000,2,1,523282,2023282,0.026834
